2018-19 SAT Performance Report - All Students,,,,,
School Name,School Code,Tests Taken,Reading / Writing,Writing,Math
Lowell - Lowell High,01600505,     703,511,,523
Lowell - The Career Academy,01600515,       1,,,
Ludlow - Ludlow Senior High,01610505,     196,549,,549
Lunenburg - Lunenburg High,01620505,     115,583,,576
Lynn - Classical High,01630505,     278,508,,517
Lynn - Lynn English High,01630510,     303,493,,486
Lynn - Lynn Vocational Technical Institute,01630605,     113,477,,458
Lynnfield - Lynnfield High,01640505,     197,575,,574
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,      86,477,,526
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,      53,718,,771
Malden - Malden High,01650505,     429,509,,543
Manchester Essex Regional - Manchester Essex Regional High School,06980510,     137,598,,590
Mansfield - Mansfield High,01670505,     384,582,,595
Map Academy Charter School (District) - Map Academy Charter School,35170505,       5,,,
Marblehead - Marblehead High,01680505,     343,600,,593
Marlborough - Marlborough High,01700505,     278,526,,528
Marshfield - Marshfield High,01710505,     451,565,,559
Martha's Vineyard - Martha's Vineyard Regional High,07000505,     170,567,,560
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,       9,,,
Masconomet - Masconomet Regional High School,07050505,     355,582,,588
Mashpee - Mashpee High,01720505,     107,544,,533
Maynard - Maynard High,01740505,     102,574,,546
Medfield - Medfield Senior High,01750505,     250,599,,607
Medford - Medford High,01760505,     328,541,,545
Medway - Medway High,01770505,     243,567,,572
Melrose - Melrose High,01780505,     370,567,,549
Mendon-Upton - Nipmuc Regional High,07100510,     197,568,,559
Methuen - Methuen High,01810505,     427,511,,513
Middleborough - Middleborough High,01820505,     170,534,,531
Milford - Milford High,01850505,     259,548,,543
Millbury - Millbury Junior/Senior High,01860505,      91,537,,550
Millis - Millis High School,01870505,     129,565,,540
Milton - Milton High,01890505,     362,577,,592
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,      84,554,,537
Mohawk Trail - Mohawk Trail Regional High,07170505,      48,537,,512
Monomoy Regional School District - Monomoy Regional High School,07120515,     150,571,,563
Monson - Monson High School,01910505,      35,570,,549
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,     195,529,,515
Mount Greylock - Mt Greylock Regional High,07150505,      95,613,,598
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,     128,569,,582
Nantucket - Nantucket High,01970505,     176,544,,526
Narragansett - Narragansett Regional High,07200505,      60,558,,558
Nashoba - Nashoba Regional,07250505,     255,591,,599
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,     118,527,,521
Natick - Natick High,01980505,     500,583,,586
Nauset - Nauset Regional High,06600505,     257,578,,566
Needham - Needham High,01990505,     432,610,,617
New Bedford - New Bedford High,02010505,     260,484,,478
New Bedford - Whaling City Junior/Senior High School,02010515,       1,,,
Newburyport - Newburyport High,02040505,     231,579,,585
Newton - Newton North High,02070505,     514,619,,624
Newton - Newton South High,02070510,     491,633,,651
Norfolk County Agricultural - Norfolk County Agricultural,09150705,     133,537,,512
North Adams - Drury High,02090505,      53,514,,500
North Andover - North Andover High,02110505,     431,572,,568
North Attleborough - North Attleboro High,02120505,     346,564,,562
North Brookfield - North Brookfield High,02150505,      26,578,,550
North Middlesex - North Middlesex Regional,07350505,     206,566,,548
North Reading - North Reading High,02170505,     231,565,,567
Northampton - Northampton High,02100505,     231,599,,591
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,      29,484,,471
Northboro-Southboro - Algonquin Regional High,07300505,     437,591,,599
Northbridge - Northbridge High,02140505,     105,541,,530
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,     164,486,,469
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,      50,513,,496
Norton - Norton High,02180505,     200,558,,549
Norwell - Norwell High,02190505,     239,588,,577
Norwood - Norwood High,02200505,     272,552,,559
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,      68,502,,519
Old Rochester - Old Rochester Regional High,07400505,     229,565,,566
Oxford - Oxford High,02260505,      70,502,,501
Palmer - Palmer High,02270505,      75,545,,539
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,      26,507,,491
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,      36,461,,431
Peabody - Peabody Veterans Memorial High,02290510,     328,533,,534
Pembroke - Pembroke High School,02310505,     240,557,,557
Pentucket - Pentucket Regional Sr High,07450505,     177,576,,574
Phoenix Academy Public Charter High School Lawrence (District) - Phoenix Academy Public Charter High School Lawrence,35180505,       4,,,
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,35080505,       7,,,
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,       3,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,      70,573,,624
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,      68,584,,654
Pioneer Valley - Pioneer Valley Regional,07500505,      51,555,,520
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,04970205,      10,660,,634
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,      68,568,,517
Pittsfield - Pittsfield High,02360505,     140,533,,525
Pittsfield - Taconic High,02360510,     114,526,,518
Plymouth - Plymouth North High,02390505,     544,523,,508
Plymouth - Plymouth South High,02390515,     478,507,,495
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,     118,518,,522
Quabbin - Quabbin Regional High School,07530505,     164,538,,537
Quaboag Regional - Quaboag Regional High,07780505,      46,575,,541
Quincy - North Quincy High,02430510,     396,548,,584
Quincy - Quincy High,02430505,     359,533,,532
Ralph C Mahar - Pathways Early College Innovation School,07550515,      12,636,,620
Ralph C Mahar - Ralph C Mahar Regional,07550505,      52,536,,540
Ralph C Mahar - The Gateway to College,07550525,       6,,,
Randolph - Randolph High,02440505,     116,504,,522
Reading - Reading Memorial High,02460505,     414,578,,582
Revere - Revere High,02480505,     560,496,,506
Revere - Seacoast School,02480520,       2,,,
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,      85,564,,537
Rockland - Rockland Senior High,02510505,     149,524,,531
Rockport - Rockport High,02520510,      99,574,,544
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,     127,498,,523
Sabis International Charter (District) - Sabis International Charter School,04410505,     116,531,,524
Salem - New Liberty Innovation School,02580510,       1,,,
Salem - Salem High,02580505,     237,485,,477
Salem Academy Charter (District) - Salem Academy Charter School,04850485,     103,542,,528
Sandwich - Sandwich High,02610505,     197,550,,550
Saugus - Saugus High,02620505,     188,513,,499
Scituate - Scituate High School,02640505,     292,586,,575
Seekonk - Seekonk High,02650505,     170,559,,548
Sharon - Sharon High,02660505,     310,611,,628
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,     214,526,,520
Shrewsbury - Shrewsbury Sr High,02710505,     635,585,,603
Silver Lake - Silver Lake Regional High,07600505,     329,567,,576
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,      27,561,,528
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,     274,545,,564
Somerville - Full Circle High School,02740510,       2,,,
Somerville - Somerville High,02740505,     279,514,,512
South Hadley - South Hadley High,02780505,     137,571,,584
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,      81,486,,482
South Shore Charter Public (District) - South Shore Charter Public School,04880550,      97,512,,494
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,      62,510,,507
Southbridge - Southbridge High School,02770515,      52,481,,466
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,     263,474,,472
Southern Berkshire - Mt Everett Regional,07650505,      28,606,,579
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,08760605,     153,516,,515
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,     109,541,,543
Spencer-E Brookfield - David Prouty High,07670505,      55,537,,531
Springfield - Conservatory of the Arts,02810475,      52,421,,405
Springfield - High School Of Commerce,02810510,      29,433,,447
Springfield - John J Duggan Middle,02810320,      24,432,,428
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,     338,425,,418
Springfield - Springfield Central High,02810500,     463,472,,464
Springfield - Springfield High School of Science and Technology,02810530,     253,401,,390
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,      99,493,,467
Stoneham - Stoneham High,02840505,     220,550,,543
Stoughton - Stoughton High,02850505,     294,531,,526
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,     273,587,,572
Sutton - Sutton High School,02900510,     124,557,,552
Swampscott - Swampscott High,02910505,     194,571,,585
Swansea - Joseph Case High,02920505,     104,538,,536
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,      99,568,,537
Tantasqua - Tantasqua Regional Sr High,07700505,     235,572,,600
Tantasqua - Tantasqua Regional Vocational,07700605,      49,529,,540
Taunton - Taunton Alternative High School,02930525,       2,,,
Taunton - Taunton High,02930505,     544,506,,490
Tewksbury - Tewksbury Memorial High,02950505,     247,555,,560
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,     151,522,,519
Triton - Triton Regional High School,07730505,     185,558,,551
Tyngsborough - Tyngsborough High School,03010505,     144,561,,565
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,     115,518,,513
Uxbridge - Gateway to College,03040515,       1,,,
Uxbridge - Uxbridge High,03040505,     113,545,,536
Wachusett - Wachusett Regional High,07750505,     612,568,,569
Wakefield - Wakefield Memorial High,03050505,     317,565,,566
Walpole - Walpole High,03070505,     388,572,,566
Waltham - Waltham Sr High,03080505,     379,525,,526
Ware - Ware Junior/Senior High School,03090505,      64,542,,532
Wareham - Wareham Cooperative Alternative School,03100315,       2,,,
Wareham - Wareham Senior High,03100505,      85,528,,539
Watertown - Watertown High,03140505,     163,548,,561
Wayland - Wayland High School,03150505,     204,618,,638
Webster - Bartlett High School,03160505,      83,518,,516
Wellesley - Wellesley Sr High,03170505,     349,625,,628
West Boylston - West Boylston Junior/Senior High,03220505,      55,572,,550
West Bridgewater - West Bridgewater Junior/Senior,03230505,     129,552,,536
West Springfield - West Springfield High,03320505,     198,549,,549
Westborough - Westborough High,03210505,     315,593,,610
Westfield - Westfield High,03250505,     240,553,,535
Westfield - Westfield Technical Academy,03250605,      22,490,,471
Westford - Westford Academy,03260505,     533,608,,624
Weston - Weston High,03300505,     148,627,,652
Westport - Westport Junior/Senior High School,03310515,      58,568,,528
Westwood - Westwood High,03350505,     356,596,,611
Weymouth - Weymouth High School,03360505,     485,536,,531
Whitman-Hanson - Whitman Hanson Regional,07800505,     333,541,,526
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,     183,514,,490
Wilmington - Wilmington High,03420505,     266,558,,543
